и	and
в	in, to, into
не	not
на	on, onto
я	I, me
быть	be
с	with, from, since
он	he
что	that
а	and, but
э́то	this
э́тот	this
по	along
к	to
но	but
они́	they
мы	we
она́	she
как	how
то	that, what
кото́рый	which, what, who
из	from, of
у	by, at
свой	one's (own)
вы	you
весь	all, whole
за	after, behind, for
для	for
от	from, against
мочь	be able (to)
так	so
ты	you
о	about
что	what
челове́к	human, person
же	indeed
год	year
всѐ	still, all, nevertheless
тако́й	such, so
тот	that, the
и́ли	or
е́сли	if, in case
то́лько	only
его́	his, its
оди́н	one
бы	would
себя́	oneself
вре́мя	time
ещѐ	more, still
друго́й	other, another
уже́	already
когда́	when
сказа́ть	say
до	before, until, to
мой	my
наш	our, ours
что́бы	in order to
станови́ться	become
говори́ть	talk, speak, tell
са́мый	most, the very
знать	know
вот	here
о́чень	very
кто	who
при	by, when, in the presence of
день	day
мо́жно	may, can
жизнь	life
пе́рвый	first
сам	myself, yourself, himself
де́ло	business, case
два	two
но́вый	new
да́же	even
хоте́ть	want
до́лжен	must, have to, owe, should
раз	time
их	their, theirs, them
рабо́та	work, job
како́й	which, what
име́ть	have
со	with, from, since
там	there
по́сле	after, afterwards
понима́ть	understand
ли	whether
где	where
рука́	hand, arm
го́род	city
вопро́с	question, issue
еѐ	her, hers
под	under
дава́ть	give
сло́во	word
нет	no, not
ме́сто	place
ка́ждый	every, each
без	without
ребѐнок	child
ну	well
бо́лее	more
друг	friend
идти́	go
большо́й	big, large
про́сто	simply, just
начина́ть	begin
чем	than
сде́лать	do, make
ваш	your, yours
на́до	necessary, must, have to
здесь	here
Росси́я	Russia
де́лать	do
ви́деть	see
пото́м	after, afterwards
да	yes
ничто́	nothing
получа́ть	receive
сейча́с	now
че́рез	in, after, across
мно́го	many
мир	world, peace
тепе́рь	now
остава́ться	remain
слу́чай	case
ду́мать	think
ни	no, neither, nor
сторона́	side
хоро́ший	good
глаз	eye
тогда́	then, at the time
тут	here
не́сколько	several, a few
то́же	too, also
приходи́ть	come
дом	home, house
страна́	country
рабо́тать	work
отвеча́ть	reply, answer
после́дний	last
лицо́	face
жить	live
си́ла	strength, force
же́нщина	woman
выходи́ть	go out
часть	part, proportion
та́кже	also
всегда́	always
явля́ться	be, appear
систе́ма	system
вид	look, view, kind
голова́	head
коне́ц	end, finish
находи́ть	find
ме́жду	between
ока́зываться	turn out, end up
хотя́	although, but
смотре́ть	watch
коне́чно	certainly
пробле́ма	problem
принима́ть	take
спра́шивать	ask
проходи́ть	pass
отноше́ние	relationship
три	three
второ́й	second, two
пе́ред	before, in front (of)
лишь	only
и́менно	namely
о́браз	image, way
поэ́тому	therefore, that's why
почему́	why
Москва́	Moscow
любо́й	any
одна́ко	however
никто́	no one, nobody
час	hour
реша́ть	decide, solve
де́ньги	money
счита́ть	count
над	above
земля́	land, ground
сего́дня	today
ру́сский	Russian
вообще́	generally, at all
взять	take
кни́га	book
хорошо́	well, all right
пойти́	go, start going
не́который	some
компа́ния	company
исто́рия	history, story
мно́гие	many
приходи́ться	have to
люби́ть	love
возмо́жность	opportunity, possibility
ну́жно	necessary
всѐ	all, everything
результа́т	result
бо́льше	more
высо́кий	tall, high
наприме́р	for example
почти́	almost
писа́ть	write
возвраща́ться	return
сиде́ть	sit
уходи́ть	leave
твой	your, yours
маши́на	machine, car
гру́ппа	group, grouping
пока́	while
находи́ться	be
пра́во	right, rights, law
уви́деть	see
война́	war
путь	way
что-то	something, anything
ведь	but, after all
стоя́ть	stand
и́мя	name
никогда́	never
помога́ть	help
сто́ить	cost
отве́т	answer, reply
появля́ться	appear
бог	God
вода́	water
совсе́м	completely, very
язы́к	language, tongue
пока́зывать	show
каза́ться	seem
далеко́	far
ну́жный	necessary
ма́ленький	small
росси́йский	Russian
реше́ние	decision
наро́д	people, nation
расска́зывать	tell
власть	power
сра́зу	at once
ночь	night
по́лный	full, total
никако́й	no, none, any
гла́вный	chief, main
оно́	it
дверь	door
ча́сто	often
у́ровень	level, rate
создава́ть	create
зако́н	law
разви́тие	development
програ́мма	programme
нача́ло	beginning
написа́ть	write
оте́ц	father
нога́	leg, foot
вме́сте	together
ста́рый	old
моме́нт	moment
по́мощь	help
цель	goal
сле́дующий	next
чи́сло	number, date
подо́бный	similar
ра́зный	different, all kinds of
ты́сяча	thousand
про	about
о́бщий	general, common
мину́та	minute
информа́ция	information
кро́ме	besides, apart from
смочь	be able, can
проце́сс	process
а́втор	author
фо́рма	form, shape
го́лос	voice, vote
ме́сяц	month
мысль	thought
свет	light
шко́ла	school
де́йствие	action, effect
вся́кий	any, every
ка́чество	quality
ситуа́ция	situation
о́бласть	region, area, field
внима́ние	attention
сле́довать	follow, should
доро́га	road
испо́льзовать	use
со́бственный	own
замеча́ть	notice, note
взгляд	glance
усло́вие	condition
молодо́й	young
мужчи́на	man
предлага́ть	offer, propose
сно́ва	again
любо́вь	love
связь	connection, bond, communication
ва́жный	important
ждать	wait
вдруг	suddenly
игра́	game
чита́ть	read
ско́ро	soon
организа́ция	organization
статья́	article
сре́дство	remedy, means, way
душа́	soul
входи́ть	enter
пыта́ться	try, attempt
основно́й	main, fundamental
те́ло	body
посмотре́ть	watch, look (at)
жена́	wife
открыва́ть	open
пора́	it's time
узнава́ть	recognize, find out
письмо́	letter
о́бщество	society
состоя́ние	condition, state
настоя́щий	present, real, genuine
ве́чер	evening
существова́ть	exist, be
наза́д	back, ago
смысл	meaning, sense, point
семья́	family
ме́ра	measure
госуда́рство	state
соверше́нно	entirely
вещь	thing
просто́й	simple
оставля́ть	leave
у́тро	morning
действи́тельно	really
мать	mother
де́вушка	girl
зате́м	then
вести́	lead, drive
стол	table
причи́на	cause, reason
прое́кт	project, draft
у́лица	street
ры́нок	market
игра́ть	play
госуда́рственный	state
происходи́ть	take place, originate
по́мнить	remember, recall
называ́ть	name
то́чка	point
нельзя́	impossible, (it is) forbidden
начина́ться	begin
да́нный	given, the
подходи́ть	come, approach
опя́ть	again
те́ма	theme, topic
ра́вный	equal
неде́ля	week
хоте́ться	want, like
вызыва́ть	cause, call
ко́мната	room
ино́й	other, different
бе́лый	white
наконе́ц	finally
куда́	(to) where
изве́стный	known, famous
центр	center
цена́	price
сын	son
забыва́ть	forget
де́ятельность	activity
осо́бенно	especially, particularly
иде́я	idea
про́тив	against
пра́вило	rule
сове́тский	Soviet
лу́чший	best
движе́ние	movement, traffic
занима́ться	study, work
огро́мный	huge
среди́	among
ма́ма	mom, mum
вели́кий	great
коли́чество	quantity
чу́вство	feeling
сли́шком	too
иногда́	sometimes
смерть	death
лежа́ть	lie
труд	work
вспомина́ть	remember
пять	five
зада́ча	task
быва́ть	be, visit, happen
получа́ться	come out, be, turn out
доста́точно	enough
си́льный	strong, powerful
мне́ние	opinion
бы́стро	quickly
чу́вствовать	feel, sense
тре́тий	third
чѐрный	black
приме́р	example
гото́вый	ready, willing
положе́ние	position, situation
поря́док	order
продолжа́ть	continue, carry on
век	century
поско́льку	because
муж	husband
речь	speech
полити́ческий	political
представля́ть	present, imagine
стена́	wall
попада́ть	hit, get
слы́шать	hear
поду́мать	think
ходи́ть	walk, go
окно́	window
ря́дом	near
план	plan
тип	type
о́ба	both
сове́т	council, advice
совреме́нный	modern
удава́ться	manage
приезжа́ть	arrive, come
плохо́й	bad
из-за	from behind, because of
о́пыт	experience, experiment
се́рдце	heart
нау́ка	science
сообще́ние	message
управле́ние	management, control
да́нные	data
о́коло	near, by
интере́с	interest
проси́ть	ask
газе́та	newspaper
интере́сный	interesting
необходи́мый	necessary
материа́л	material
роль	role
вполне́	quite
объясня́ть	explain
ра́но	early
обраща́ться	consult, treat
поста́вить	put
а́рмия	army
свя́зывать	connect, tie together
то́чно	exactly
четы́ре	four
до́лго	long
разли́чный	different
ли́бо	or
социа́льный	social
ме́нее	less, under
собы́тие	event
иска́ть	look for
большинство́	majority
пра́вда	truth
кра́сный	red
давно́	long, long ago
легко́	easy, easily
прави́тельство	government
боя́ться	fear, be afraid
суд	court, trial
президе́нт	president
возмо́жно	possibly, may
занима́ть	borrow, occupy the position of, be
вое́нный	military
рубль	ruble
це́лый	whole
фильм	film
умира́ть	die
би́знес	business
обы́чно	usually
спать	sleep
миллио́н	million
сообща́ть	report
культу́ра	culture
текст	text
носи́ть	carry, wear
брать	take
докуме́нт	document
снима́ть	rent, remove, withdraw, shoot (film)
член	member
телефо́н	telephone
относи́ться	relate, be part of
выбира́ть	choose
определя́ть	define, determine
спо́соб	way, means
тече́ние	course, current
счѐт	account, bill, check
живо́й	alive, live
встава́ть	stand (up), get up
случа́ться	happen
роди́тель	parent
небольшо́й	small, little
купи́ть	buy
разгово́р	talk, conversation
сей	this
еди́нственный	only
метр	meter, metre
при́нцип	principle
сайт	site
пра́вый	right
немно́го	little, a bit
па́ртия	party, consignment
образова́ние	education
ско́лько	how many, how much
заче́м	why, what for
приноси́ть	bring
наве́рное	probably
убива́ть	kill
пери́од	period
кста́ти	by the way
па́ра	couple, pair
ряд	row, number
кварти́ра	flat
значе́ние	meaning
вну́тренний	internal, inside
позволя́ть	allow, enable
да́лее	further
успева́ть	manage
возмо́жный	possible
жела́ние	desire, wish
слу́шать	listen
поднима́ть	lift, raise
но́мер	number, hotel room
броса́ть	throw
чуть	slightly, a bit
о́чередь	queue
поли́тика	politics
класс	class, year
брат	brother
собира́ться	prepare, plan
тре́бовать	require
отмеча́ть	mark, celebrate
произво́дство	manufacture, production
райо́н	area, district
осно́ва	base
ве́рить	believe
измене́ние	change
бли́зкий	close
челове́ческий	human
дово́льно	quite
экономи́ческий	economic
факт	fact
стро́ить	build
ме́стный	local
